  # energy grid [eV]     epsr     epsi
       0.001000       0.000174      -0.000001
       0.031029       0.000174      -0.000001
       0.061058       0.000174      -0.000001
       0.091087       0.000175      -0.000001
       0.121116       0.000175      -0.000001
       0.151145       0.000175      -0.000000
       0.181174       0.000175      -0.000000
       0.211203       0.000175      -0.000000
       0.241232       0.000175      -0.000000
       0.271261       0.000176       0.000000
       0.301290       0.000176       0.000000
       0.331319       0.000176       0.000000
       0.361348       0.000177       0.000000
       0.391377       0.000177       0.000001
       0.421406       0.000178       0.000001
       0.451435       0.000178       0.000001
       0.481464       0.000179       0.000001
       0.511493       0.000180       0.000001
       0.541523       0.000180       0.000001
       0.571552       0.000181       0.000001
       0.601581       0.000182       0.000001
       0.631610       0.000182       0.000002
       0.661639       0.000183       0.000002
       0.691668       0.000184       0.000002
       0.721697       0.000185       0.000002
       0.751726       0.000186       0.000002
       0.781755       0.000187       0.000002
       0.811784       0.000188       0.000002
       0.841813       0.000189       0.000003
       0.871842       0.000190       0.000003
       0.901871       0.000191       0.000003
       0.931900       0.000192       0.000003
       0.961929       0.000194       0.000003
       0.991958       0.000195       0.000003
       1.021987       0.000196       0.000004
       1.052016       0.000198       0.000004
       1.082045       0.000199       0.000004
       1.112074       0.000201       0.000004
       1.142103       0.000202       0.000004
       1.172132       0.000204       0.000005
       1.202161       0.000206       0.000005
       1.232190       0.000207       0.000005
       1.262219       0.000209       0.000005
       1.292248       0.000211       0.000006
       1.322277       0.000213       0.000006
       1.352306       0.000215       0.000006
       1.382335       0.000217       0.000006
       1.412364       0.000220       0.000007
       1.442393       0.000222       0.000007
       1.472422       0.000224       0.000007
       1.502451       0.000227       0.000007
       1.532480       0.000229       0.000008
       1.562510       0.000232       0.000008
       1.592539       0.000235       0.000008
       1.622568       0.000238       0.000009
       1.652597       0.000240       0.000009
       1.682626       0.000244       0.000009
       1.712655       0.000247       0.000010
       1.742684       0.000250       0.000010
       1.772713       0.000253       0.000011
       1.802742       0.000257       0.000011
       1.832771       0.000261       0.000011
       1.862800       0.000264       0.000012
       1.892829       0.000268       0.000012
       1.922858       0.000272       0.000013
       1.952887       0.000277       0.000013
       1.982916       0.000281       0.000014
       2.012945       0.000286       0.000015
       2.042974       0.000290       0.000015
       2.073003       0.000295       0.000016
       2.103032       0.000300       0.000017
       2.133061       0.000306       0.000017
       2.163090       0.000311       0.000018
       2.193119       0.000317       0.000019
       2.223148       0.000323       0.000020
       2.253177       0.000329       0.000021
       2.283206       0.000336       0.000021
       2.313235       0.000343       0.000022
       2.343264       0.000350       0.000024
       2.373293       0.000357       0.000025
       2.403322       0.000365       0.000026
       2.433351       0.000373       0.000027
       2.463380       0.000382       0.000028
       2.493409       0.000391       0.000030
       2.523438       0.000400       0.000031
       2.553467       0.000410       0.000033
       2.583496       0.000420       0.000035
       2.613526       0.000431       0.000036
       2.643555       0.000443       0.000038
       2.673584       0.000455       0.000041
       2.703613       0.000467       0.000043
       2.733642       0.000481       0.000045
       2.763671       0.000495       0.000048
       2.793700       0.000510       0.000051
       2.823729       0.000525       0.000054
       2.853758       0.000542       0.000057
       2.883787       0.000560       0.000061
       2.913816       0.000579       0.000065
       2.943845       0.000599       0.000070
       2.973874       0.000620       0.000075
       3.003903       0.000643       0.000080
       3.033932       0.000668       0.000086
       3.063961       0.000694       0.000093
       3.093990       0.000722       0.000100
       3.124019       0.000753       0.000108
       3.154048       0.000785       0.000118
       3.184077       0.000821       0.000129
       3.214106       0.000860       0.000141
       3.244135       0.000902       0.000155
       3.274164       0.000948       0.000171
       3.304193       0.000999       0.000191
       3.334222       0.001055       0.000213
       3.364251       0.001117       0.000241
       3.394280       0.001187       0.000275
       3.424309       0.001264       0.000318
