  # energy grid [eV]     epsr     epsi
       0.001000       6.548640       0.000031
       0.031029       6.548791       0.000977
       0.061058       6.549226       0.001924
       0.091087       6.549945       0.002871
       0.121116       6.550948       0.003819
       0.151145       6.552235       0.004770
       0.181174       6.553808       0.005722
       0.211203       6.555666       0.006677
       0.241232       6.557812       0.007635
       0.271261       6.560244       0.008596
       0.301290       6.562966       0.009562
       0.331319       6.565978       0.010531
       0.361348       6.569281       0.011506
       0.391377       6.572877       0.012485
       0.421406       6.576767       0.013471
       0.451435       6.580954       0.014463
       0.481464       6.585439       0.015461
       0.511493       6.590224       0.016466
       0.541523       6.595312       0.017480
       0.571552       6.600705       0.018501
       0.601581       6.606405       0.019531
       0.631610       6.612415       0.020571
       0.661639       6.618738       0.021620
       0.691668       6.625378       0.022680
       0.721697       6.632336       0.023750
       0.751726       6.639617       0.024832
       0.781755       6.647224       0.025927
       0.811784       6.655161       0.027034
       0.841813       6.663431       0.028155
       0.871842       6.672040       0.029289
       0.901871       6.680991       0.030439
       0.931900       6.690288       0.031604
       0.961929       6.699937       0.032786
       0.991958       6.709942       0.033984
       1.021987       6.720309       0.035201
       1.052016       6.731043       0.036436
       1.082045       6.742150       0.037690
       1.112074       6.753636       0.038965
       1.142103       6.765507       0.040262
       1.172132       6.777769       0.041581
       1.202161       6.790430       0.042923
       1.232190       6.803496       0.044289
       1.262219       6.816975       0.045681
       1.292248       6.830875       0.047100
       1.322277       6.845203       0.048546
       1.352306       6.859969       0.050022
       1.382335       6.875181       0.051527
       1.412364       6.890848       0.053065
       1.442393       6.906980       0.054636
       1.472422       6.923587       0.056241
       1.502451       6.940680       0.057883
       1.532480       6.958270       0.059562
       1.562510       6.976368       0.061281
       1.592539       6.994986       0.063042
       1.622568       7.014137       0.064846
       1.652597       7.033835       0.066695
       1.682626       7.054092       0.068592
       1.712655       7.074924       0.070539
       1.742684       7.096345       0.072538
       1.772713       7.118372       0.074592
       1.802742       7.141021       0.076703
       1.832771       7.164310       0.078875
       1.862800       7.188257       0.081110
       1.892829       7.212881       0.083411
       1.922858       7.238203       0.085783
       1.952887       7.264244       0.088228
       1.982916       7.291027       0.090750
       2.012945       7.318574       0.093355
       2.042974       7.346911       0.096045
       2.073003       7.376064       0.098826
       2.103032       7.406060       0.101702
       2.133061       7.436929       0.104680
       2.163090       7.468701       0.107765
       2.193119       7.501409       0.110963
       2.223148       7.535088       0.114280
       2.253177       7.569774       0.117725
       2.283206       7.605504       0.121305
       2.313235       7.642322       0.125028
       2.343264       7.680269       0.128904
       2.373293       7.719393       0.132941
       2.403322       7.759743       0.137152
       2.433351       7.801371       0.141548
       2.463380       7.844333       0.146140
       2.493409       7.888689       0.150944
       2.523438       7.934504       0.155975
       2.553467       7.981846       0.161249
       2.583496       8.030789       0.166784
       2.613526       8.081412       0.172602
       2.643555       8.133801       0.178723
       2.673584       8.188047       0.185173
       2.703613       8.244251       0.191980
       2.733642       8.302519       0.199175
