  # energy grid [eV]     epsr     epsi
       0.001000      -0.000306       0.000002
       0.031029      -0.000306       0.000002
       0.061058      -0.000306       0.000002
       0.091087      -0.000306       0.000002
       0.121116      -0.000306       0.000002
       0.151145      -0.000306       0.000002
       0.181174      -0.000305       0.000002
       0.211203      -0.000305       0.000003
       0.241232      -0.000305       0.000003
       0.271261      -0.000305       0.000003
       0.301290      -0.000305       0.000003
       0.331319      -0.000304       0.000003
       0.361348      -0.000304       0.000003
       0.391377      -0.000304       0.000003
       0.421406      -0.000303       0.000003
       0.451435      -0.000303       0.000003
       0.481464      -0.000302       0.000003
       0.511493      -0.000302       0.000004
       0.541523      -0.000301       0.000004
       0.571552      -0.000301       0.000004
       0.601581      -0.000300       0.000004
       0.631610      -0.000299       0.000004
       0.661639      -0.000299       0.000004
       0.691668      -0.000298       0.000004
       0.721697      -0.000297       0.000004
       0.751726      -0.000296       0.000005
       0.781755      -0.000295       0.000005
       0.811784      -0.000295       0.000005
       0.841813      -0.000294       0.000005
       0.871842      -0.000293       0.000005
       0.901871      -0.000292       0.000005
       0.931900      -0.000291       0.000006
       0.961929      -0.000289       0.000006
       0.991958      -0.000288       0.000006
       1.021987      -0.000287       0.000006
       1.052016      -0.000286       0.000006
       1.082045      -0.000284       0.000007
       1.112074      -0.000283       0.000007
       1.142103      -0.000281       0.000007
       1.172132      -0.000280       0.000007
       1.202161      -0.000278       0.000007
       1.232190      -0.000277       0.000008
       1.262219      -0.000275       0.000008
       1.292248      -0.000273       0.000008
       1.322277      -0.000271       0.000008
       1.352306      -0.000269       0.000009
       1.382335      -0.000267       0.000009
       1.412364      -0.000265       0.000009
       1.442393      -0.000262       0.000010
       1.472422      -0.000260       0.000010
       1.502451      -0.000258       0.000010
       1.532480      -0.000255       0.000011
       1.562510      -0.000252       0.000011
       1.592539      -0.000249       0.000012
       1.622568      -0.000246       0.000012
       1.652597      -0.000243       0.000012
       1.682626      -0.000240       0.000013
       1.712655      -0.000237       0.000013
       1.742684      -0.000233       0.000014
       1.772713      -0.000230       0.000014
       1.802742      -0.000226       0.000015
       1.832771      -0.000222       0.000016
       1.862800      -0.000218       0.000016
       1.892829      -0.000213       0.000017
       1.922858      -0.000209       0.000018
       1.952887      -0.000204       0.000018
       1.982916      -0.000199       0.000019
       2.012945      -0.000193       0.000020
       2.042974      -0.000188       0.000021
       2.073003      -0.000182       0.000022
       2.103032      -0.000176       0.000023
       2.133061      -0.000169       0.000024
       2.163090      -0.000163       0.000025
       2.193119      -0.000156       0.000026
       2.223148      -0.000148       0.000027
       2.253177      -0.000141       0.000029
       2.283206      -0.000132       0.000030
       2.313235      -0.000124       0.000032
       2.343264      -0.000115       0.000033
       2.373293      -0.000105       0.000035
       2.403322      -0.000095       0.000037
       2.433351      -0.000084       0.000039
       2.463380      -0.000073       0.000041
       2.493409      -0.000061       0.000043
       2.523438      -0.000048       0.000046
       2.553467      -0.000035       0.000048
       2.583496      -0.000021       0.000051
       2.613526      -0.000006       0.000054
       2.643555       0.000010       0.000057
       2.673584       0.000027       0.000061
       2.703613       0.000045       0.000065
       2.733642       0.000064       0.000069
       2.763671       0.000084       0.000074
       2.793700       0.000106       0.000079
       2.823729       0.000129       0.000084
       2.853758       0.000154       0.000090
       2.883787       0.000181       0.000097
       2.913816       0.000210       0.000104
       2.943845       0.000241       0.000112
       2.973874       0.000274       0.000121
       3.003903       0.000310       0.000130
       3.033932       0.000349       0.000141
       3.063961       0.000391       0.000153
       3.093990       0.000436       0.000167
       3.124019       0.000486       0.000182
       3.154048       0.000541       0.000200
       3.184077       0.000600       0.000220
       3.214106       0.000665       0.000242
       3.244135       0.000737       0.000268
       3.274164       0.000817       0.000297
       3.304193       0.000905       0.000331
       3.334222       0.001005       0.000371
       3.364251       0.001117       0.000416
       3.394280       0.001246       0.000469
       3.424309       0.001399       0.000531
       3.454338       0.001587       0.000609
       3.484367       0.001826       0.000724
       3.514396       0.002115       0.000919
       3.544425       0.002418       0.001231
