  # energy grid [eV]     epsr     epsi
       0.001000       6.125402       0.000028
       0.031029       6.125536       0.000870
       0.061058       6.125923       0.001712
       0.091087       6.126563       0.002555
       0.121116       6.127455       0.003399
       0.151145       6.128601       0.004245
       0.181174       6.130001       0.005093
       0.211203       6.131655       0.005942
       0.241232       6.133564       0.006795
       0.271261       6.135730       0.007650
       0.301290       6.138152       0.008509
       0.331319       6.140832       0.009372
       0.361348       6.143771       0.010239
       0.391377       6.146971       0.011110
       0.421406       6.150433       0.011987
       0.451435       6.154159       0.012869
       0.481464       6.158150       0.013756
       0.511493       6.162407       0.014650
       0.541523       6.166934       0.015551
       0.571552       6.171732       0.016459
       0.601581       6.176803       0.017374
       0.631610       6.182149       0.018298
       0.661639       6.187774       0.019230
       0.691668       6.193679       0.020172
       0.721697       6.199868       0.021122
       0.751726       6.206344       0.022083
       0.781755       6.213109       0.023055
       0.811784       6.220166       0.024038
       0.841813       6.227520       0.025032
       0.871842       6.235174       0.026039
       0.901871       6.243131       0.027059
       0.931900       6.251396       0.028092
       0.961929       6.259973       0.029140
       0.991958       6.268865       0.030202
       1.021987       6.278079       0.031280
       1.052016       6.287617       0.032374
       1.082045       6.297486       0.033486
       1.112074       6.307690       0.034615
       1.142103       6.318235       0.035762
       1.172132       6.329127       0.036930
       1.202161       6.340371       0.038117
       1.232190       6.351974       0.039326
       1.262219       6.363943       0.040556
       1.292248       6.376283       0.041810
       1.322277       6.389002       0.043088
       1.352306       6.402107       0.044392
       1.382335       6.415606       0.045721
       1.412364       6.429508       0.047078
       1.442393       6.443820       0.048464
       1.472422       6.458551       0.049881
       1.502451       6.473710       0.051328
       1.532480       6.489308       0.052808
       1.562510       6.505353       0.054323
       1.592539       6.521857       0.055873
       1.622568       6.538830       0.057462
       1.652597       6.556283       0.059089
       1.682626       6.574230       0.060757
       1.712655       6.592682       0.062469
       1.742684       6.611652       0.064226
       1.772713       6.631154       0.066030
       1.802742       6.651203       0.067884
       1.832771       6.671813       0.069789
       1.862800       6.693001       0.071750
       1.892829       6.714783       0.073767
       1.922858       6.737176       0.075845
       1.952887       6.760199       0.077986
       1.982916       6.783871       0.080194
       2.012945       6.808213       0.082471
       2.042974       6.833245       0.084823
       2.073003       6.858990       0.087252
       2.103032       6.885472       0.089763
       2.133061       6.912716       0.092361
       2.163090       6.940748       0.095050
       2.193119       6.969596       0.097836
       2.223148       6.999289       0.100724
       2.253177       7.029858       0.103720
       2.283206       7.061337       0.106831
       2.313235       7.093760       0.110064
       2.343264       7.127164       0.113426
       2.373293       7.161589       0.116926
       2.403322       7.197076       0.120572
       2.433351       7.233670       0.124373
       2.463380       7.271418       0.128342
       2.493409       7.310370       0.132488
       2.523438       7.350582       0.136824
       2.553467       7.392110       0.141364
       2.583496       7.435016       0.146123
       2.613526       7.479367       0.151116
       2.643555       7.525234       0.156363
       2.673584       7.572693       0.161883
       2.703613       7.621828       0.167697
       2.733642       7.672727       0.173831
       2.763671       7.725487       0.180311
       2.793700       7.780213       0.187167
       2.823729       7.837018       0.194433
       2.853758       7.896026       0.202148
       2.883787       7.957372       0.210355
       2.913816       8.021204       0.219101
       2.943845       8.087683       0.228442
       2.973874       8.156988       0.238442
       3.003903       8.229316       0.249173
       3.033932       8.304883       0.260719
       3.063961       8.383931       0.273178
       3.093990       8.466730       0.286664
       3.124019       8.553581       0.301312
       3.154048       8.644823       0.317283
       3.184077       8.740837       0.334770
       3.214106       8.842055       0.354009
       3.244135       8.948969       0.375289
       3.274164       9.062140       0.398972
